<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TRUR;D;231213;000000;7.17;7.19;7.16;7.18;180503853
TRUR;D;231214;000000;7.21;7.24;7.2;7.23;193566536
TRUR;D;231215;000000;7.19;7.22;7.17;7.21;156808428
TRUR;D;231218;000000;7.22;7.28;7.22;7.27;214195091
TRUR;D;231219;000000;7.26;7.31;7.26;7.31;195610608
TRUR;D;231220;000000;7.31;7.36;7.31;7.35;177436152
TRUR;D;231221;000000;7.33;7.36;7.32;7.36;172724060
TRUR;D;231222;000000;7.36;7.39;7.35;7.38;138521535
TRUR;D;231225;000000;7.38;7.43;7.38;7.42;300613786
TRUR;D;231226;000000;7.41;7.42;7.38;7.42;200425318
TRUR;D;231227;000000;7.41;7.43;7.4;7.41;181273736
TRUR;D;231228;000000;7.4;7.43;7.38;7.41;204787262
TRUR;D;231229;000000;7.41;7.42;7.38;7.4;229350909
TRUR;D;240103;000000;7.44;7.49;7.44;7.48;228944565
TRUR;D;240104;000000;7.48;7.49;7.44;7.44;153455205
TRUR;D;240105;000000;7.45;7.46;7.41;7.44;151169662
TRUR;D;240108;000000;7.44;7.47;7.43;7.45;219167465
TRUR;D;240109;000000;7.44;7.45;7.4;7.41;175007827
TRUR;D;240110;000000;7.4;7.45;7.4;7.44;158341319
TRUR;D;240111;000000;7.42;7.44;7.39;7.4;112968620
TRUR;D;240112;000000;7.4;7.43;7.38;7.43;210001638
TRUR;D;240115;000000;7.42;7.45;7.42;7.44;174010380
TRUR;D;240116;000000;7.43;7.44;7.4;7.42;143364794
TRUR;D;240117;000000;7.42;7.43;7.4;7.42;123486207
TRUR;D;240118;000000;7.41;7.43;7.41;7.43;132584039
TRUR;D;240119;000000;7.43;7.44;7.41;7.42;165193917
TRUR;D;240122;000000;7.42;7.44;7.41;7.42;179769325
TRUR;D;240123;000000;7.41;7.44;7.41;7.43;109436752
TRUR;D;240124;000000;7.42;7.44;7.41;7.43;124911661
TRUR;D;240125;000000;7.42;7.44;7.41;7.43;156844549
TRUR;D;240126;000000;7.43;7.47;7.43;7.45;148483741
TRUR;D;240129;000000;7.48;7.49;7.46;7.47;171870306
TRUR;D;240130;000000;7.47;7.49;7.47;7.48;140720796
TRUR;D;240131;000000;7.48;7.51;7.48;7.5;193709095
TRUR;D;240201;000000;7.51;7.54;7.51;7.53;120511774
TRUR;D;240202;000000;7.52;7.56;7.51;7.52;178673792
TRUR;D;240205;000000;7.52;7.54;7.51;7.52;159289264
TRUR;D;240206;000000;7.51;7.53;7.51;7.53;129146831
TRUR;D;240207;000000;7.52;7.55;7.52;7.55;133560066
TRUR;D;240208;000000;7.56;7.56;7.52;7.53;102757583
TRUR;D;240209;000000;7.52;7.53;7.5;7.51;133590991
TRUR;D;240212;000000;7.52;7.53;7.51;7.53;201465824
TRUR;D;240213;000000;7.53;7.54;7.51;7.53;105942618
TRUR;D;240214;000000;7.53;7.54;7.52;7.53;89557859
TRUR;D;240215;000000;7.53;7.55;7.52;7.55;103682006
TRUR;D;240216;000000;7.54;7.55;7.52;7.54;113859885
TRUR;D;240219;000000;7.54;7.55;7.53;7.55;139101965
TRUR;D;240220;000000;7.54;7.55;7.51;7.53;127200841
TRUR;D;240221;000000;7.5;7.51;7.48;7.49;158393081
TRUR;D;240222;000000;7.49;7.51;7.48;7.49;93271010
TRUR;D;240226;000000;7.52;7.55;7.52;7.55;163810713
TRUR;D;240227;000000;7.55;7.56;7.53;7.54;87428089
TRUR;D;240228;000000;7.53;7.55;7.51;7.53;117848335
TRUR;D;240229;000000;7.53;7.55;7.52;7.55;105948021
TRUR;D;240301;000000;7.55;7.6;7.54;7.6;143154337
TRUR;D;240304;000000;7.6;7.63;7.6;7.63;179683853
TRUR;D;240305;000000;7.62;7.65;7.62;7.63;111591423
TRUR;D;240306;000000;7.63;7.63;7.6;7.63;108709593
